ccp1,0,0
member 1,0,0
member 10,8.835219459,6.053482595
member 11,0,0
member 12,0,0
member 13,16.08472824,29.11189041
member 14,24.82819757,29.11189041
member 15,11.1142705,10.573099
member 16,0,0
member 17,0,0
member 18,14.58435127,11.75548025
member 19,8.835219459,6.053482595
member 2,0,0
member 20,7.97743203,9.609369623
member 3,34.65113731,6.400192623
member 4,24.82819757,6.479773774
member 5,11.1142705,10.573099
member 6,0,0
member 7,0,0
member 8,15.22282193,6.665869899
member 9,14.86519792,6.665869899
