ccp1,0,0
member 1,0,0
member 10,3.952859075,2.919116492
member 11,0,0
member 12,0,0
member 13,5.654959038,44.07230559
member 14,5.654959038,13.08915148
member 15,5.654959038,13.08915148
member 16,0,0
member 17,0,0
member 18,9.45412814,16.82724717
member 19,5.315030692,84.23193914
member 2,0,0
member 20,24.24465704,21.23474579
member 3,7.202317313,2.919116492
member 4,5.654959038,2.919116492
member 5,6.099226263,15.59344183
member 6,0,0
member 7,0,0
member 8,3.670415912,68.52444204
member 9,16.19552696,60.12359943
