ccp1,0,0.48046413,0,0,2.863807968,0.896529931,0,0,0.092111419,0
ccp2,0,0.226780401,0,0,7.473312398,0.536473655,0,0,1.882876281,0
member 0,0,0,0,0,0,0,0,0,0,0
member 1,0,0.720851098,0,0,2.784222055,8.018518401,0,0,0,0
member 10,0,0,0,0,0,0,0,0,0,0
member 11,0,0.718768823,0,0,4.822125454,0,0,0,0,0
member 12,0,0.718768823,0,0,0,2.896104773,0,0,2.69116597,0
member 13,0,0,0,0,8.992369024,2.896104773,0,0,1.613203138,0
member 14,0,0,0,0,0,3.978878104,0,0,0,0
member 15,0,0.718768823,0,0,8.992369024,6.904851594,0,0,0,0
member 16,0,0,0,0,0,0,0,0,0,0
member 17,0,0,0,0,0,0,0,0,0,0
member 18,0,0,0,0,0,0,0,0,0,0
member 19,0,0,0,0,0,0,0,0,0,0
member 2,0,0.979248428,0,0,0,8.018518401,0,0,1.470248073,0
member 20,0,0,0,0,0,0,0,0,0,0
member 3,0,0,0,0,4.850320474,0,0,0,0,0
member 4,0,0.720851098,0,0,9.044947503,1.851084949,0,0,3.020008559,0
member 5,0,0,0,0,4.850320474,1.851084949,0,0,0,0
member 6,0,0,0,0,0,0,0,0,0,0
member 7,0,0,0,0,0,0,0,0,0,0
member 8,0,0,0,0,0,0,0,0,0,0
member 9,0,0,0,0,0,0,0,0,0,0
