ccp1,0,0,0,0,0.00765038,0,0,0,0,0.016389333
ccp2,0,0,0,0,0.001101988,0,0,0,0,0.005026607
member 0,0,0,0,0,0,0,0,0,0,0
member 1,0,0,0,0,0.006815273,0,0,0,0,0.095875555
member 10,0,0,0,0,0.009978239,0,0,0,0,0.167371314
member 11,0,0,0,0,0.008000651,0,0,0,0,0.075018538
member 12,0,0,0,0,0.006044996,0,0,0,0,0.080631048
member 13,0,0,0,0,0.007121317,0,0,0,0,0.062404327
member 14,0,0,0,0,0.006044996,0,0,0,0,0.08157976
member 15,0,0,0,0,0.008000651,0,0,0,0,0.08157976
member 16,0,0,0,0,0.004857857,0,0,0,0,0.034686065
member 17,0,0,0,0,0.010426317,0,0,0,0,0.284370479
member 18,0,0,0,0,0.005616626,0,0,0,0,0.208003335
member 19,0,0,0,0,0.010426317,0,0,0,0,0.044573318
member 2,0,0,0,0,0.001835903,0,0,0,0,0.095875555
member 20,0,0,0,0,0.0164329,0,0,0,0,0.142414942
member 3,0,0,0,0,0.001835903,0,0,0,0,0.088164564
member 4,0,0,0,0,0.007656818,0,0,0,0,0.095875555
member 5,0,0,0,0,0.007523514,0,0,0,0,0.088164564
member 6,0,0,0,0,0.004649088,0,0,0,0,0.102641959
member 7,0,0,0,0,0.022393481,0,0,0,0,0.102641959
member 8,0,0,0,0,0.004439321,0,0,0,0,0.102641959
member 9,0,0,0,0,0.022393481,0,0,0,0,0.167371314
