ccp1,0,0,0,0,0,0.107404798,0,0,0,0
ccp2,0,0,0,0,0,0.175956482,0,0,0,0
member 0,0,0,0,0,0,0,0,0,0,0
member 1,0,0,0,0,0,3.275756372,0,0,0,0
member 10,0,0,0,0,0,1.00725756,0,0,0,0
member 11,0,0,0,0,0,1.302864436,0,0,0,0
member 12,0,0,0,0,0,4.260571311,0,0,0,0
member 13,0,0,0,0,0,2.128510806,0,0,0,0
member 14,0,0,0,0,0,0.555843059,0,0,0,0
member 15,0,0,0,0,0,1.302864436,0,0,0,0
member 16,0,0,0,0,0,0.957009797,0,0,0,0
member 17,0,0,0,0,0,0.891789407,0,0,0,0
member 18,0,0,0,0,0,0.93639015,0,0,0,0
member 19,0,0,0,0,0,0.93639015,0,0,0,0
member 2,0,0,0,0,0,0.387203507,0,0,0,0
member 20,0,0,0,0,0,0.891789407,0,0,0,0
member 3,0,0,0,0,0,2.240268186,0,0,0,0
member 4,0,0,0,0,0,2.240268186,0,0,0,0
member 5,0,0,0,0,0,1.371271284,0,0,0,0
member 6,0,0,0,0,0,0.732545932,0,0,0,0
member 7,0,0,0,0,0,0.895029911,0,0,0,0
member 8,0,0,0,0,0,1.00725756,0,0,0,0
member 9,0,0,0,0,0,0.938612776,0,0,0,0
