"","r1","r2","r3","r_sp500_gen"
"r1",1,0.159875791257175,0.373139355119974,0.610069061084816
"r2",0.159875791257175,1,0.154730166165884,0.267044054192517
"r3",0.373139355119974,0.154730166165884,1,0.615174020175336
"r_sp500_gen",0.610069061084816,0.267044054192517,0.615174020175336,1
