"","r1","r2","r3","r_sp500_gen"
"r1",1,0.257236378231801,0.112670556285051,0.509004285181636
"r2",0.257236378231801,1,0.137332272824014,0.502968289417612
"r3",0.112670556285051,0.137332272824014,1,0.229771839768069
"r_sp500_gen",0.509004285181636,0.502968289417612,0.229771839768069,1
