"","r1","r2","r3","r_sp500_gen"
"r1",1,0.437872252562294,0.369051019324986,0.79535533070802
"r2",0.437872252562294,1,0.26027775816764,0.556015937008946
"r3",0.369051019324986,0.26027775816764,1,0.460550851114045
"r_sp500_gen",0.79535533070802,0.556015937008946,0.460550851114045,1
