"","r1","r2","r3","r_sp500_gen"
"r1",1,0.00981858015793011,0.000831852266670789,0.077309654412394
"r2",0.00981858015793011,1,0.000604145712145271,0.0962888252371891
"r3",0.000831852266670789,0.000604145712145271,1,0.11010759634264
"r_sp500_gen",0.077309654412394,0.0962888252371891,0.11010759634264,1
