"","r1","r2","r3","r_sp500_gen"
"r1",1,0.0486008367500531,0.0444806223993471,0.198878319579199
"r2",0.0486008367500531,1,0.0455492028126948,0.185119605471851
"r3",0.0444806223993471,0.0455492028126948,1,0.202255265088603
"r_sp500_gen",0.198878319579199,0.185119605471851,0.202255265088603,1
