"","r1","r2","r3","r_sp500_gen"
"r1",1,0.0231981898744037,0.00886828714812617,0.264698084991349
"r2",0.0231981898744037,1,-0.0055538564338935,0.0692738601614115
"r3",0.00886828714812617,-0.0055538564338935,1,0.0657842652470639
"r_sp500_gen",0.264698084991349,0.0692738601614115,0.0657842652470639,1
