"","r1","r2","r3","r_sp500_gen"
"r1",1,0.0189794936101019,0.0382207000547559,0.195316886506166
"r2",0.0189794936101019,1,0.0292679689270755,0.0625422570696781
"r3",0.0382207000547559,0.0292679689270755,1,0.218894119852993
"r_sp500_gen",0.195316886506166,0.0625422570696781,0.218894119852993,1
