"","r1","r2","r3","r_sp500_gen"
"r1",1,0.0622141343867739,0.0535356583575355,0.283329912718181
"r2",0.0622141343867739,1,0.0663253252989845,0.228026586750335
"r3",0.0535356583575355,0.0663253252989845,1,0.217613210649724
"r_sp500_gen",0.283329912718181,0.228026586750335,0.217613210649724,1
