"","r1","r2","r3","r_sp500_gen"
"r1",1,0.00025732312363329,0.00281892833752587,0.0757968044153295
"r2",0.00025732312363329,1,0.0175983618838484,0.0937029545139448
"r3",0.00281892833752587,0.0175983618838484,1,0.0887461167481727
"r_sp500_gen",0.0757968044153295,0.0937029545139448,0.0887461167481727,1
