"","r1","r2","r3","r_sp500_gen"
"r1",1,0.218667749512139,0.205597527067116,0.478735796514057
"r2",0.218667749512139,1,0.193629283973284,0.464345998312762
"r3",0.205597527067116,0.193629283973284,1,0.418785742992739
"r_sp500_gen",0.478735796514057,0.464345998312762,0.418785742992739,1
