ccp1,0,0,0,0,0,0,0,1.042481131
ccp2,0,0,0,0,0,0,0,1.679877077
member 0,0,0,0,0,0,0,0,0
member 1,0,0,0,0,0,0,0,0.369833819
member 10,0,0,0,0,0,0,0,1.30892545
member 11,0,0,0,0,0,0,0,0.565841351
member 12,0,0,0,0,0,0,0,0.565841351
member 13,0,0,0,0,0,0,0,0.808358194
member 14,0,0,0,0,0,0,0,2.785262232
member 15,0,0,0,0,0,0,0,0.808358194
member 16,0,0,0,0,0,0,0,0.715686511
member 17,0,0,0,0,0,0,0,0.982299626
member 18,0,0,0,0,0,0,0,0.982299626
member 19,0,0,0,0,0,0,0,1.301732327
member 2,0,0,0,0,0,0,0,1.388580143
member 20,0,0,0,0,0,0,0,1.790406705
member 3,0,0,0,0,0,0,0,0.413673688
member 4,0,0,0,0,0,0,0,1.388580143
member 5,0,0,0,0,0,0,0,2.801337915
member 6,0,0,0,0,0,0,0,0.718136821
member 7,0,0,0,0,0,0,0,0.718136821
member 8,0,0,0,0,0,0,0,0.84334855
member 9,0,0,0,0,0,0,0,0.718136821
