ccp1,0.042991313,1.4433253,1.427745474,1.457653906,1.16355253
ccp2,0.170281093,0.035797065,0.357763881,0.501209743,0.44496225
member 0,0,0,0,0,0
member 1,0.939184592,2.098821035,1.978808297,1.970627389,1.744864699
member 10,1.000694377,1.569466822,4.614494962,1.784678525,4.287214569
member 11,1.27641504,1.435133131,0.829791535,1.324972278,0.999690929
member 12,1.843558446,0.999331122,1.229802479,0.942196894,0.798282445
member 13,1.258238217,1.435133131,1.243829083,1.425700118,0.907104542
member 14,1.803680923,1.420834974,1.243829083,1.324972278,0.907104542
member 15,1.27641504,1.420834974,0.829791535,1.186224069,0.671065004
member 16,5.970124748,3.45884572,2.867845943,0.861116386,0.589366028
member 17,2.417299323,3.45884572,4.180377934,4.787244764,3.482773535
member 18,4.046565146,4.978393679,4.180377934,6.559339576,3.482773535
member 19,1.09008646,6.752453488,2.867845943,6.559339576,4.73519274
member 2,0.925810109,1.588833576,1.978808297,1.565234641,1.813993832
member 20,1.09008646,0.817801339,4.180377934,0.861116386,2.384139473
member 3,1.356488002,2.077910589,1.537854498,1.565234641,1.631176301
member 4,1.150037936,1.461479172,1.335172437,1.629750882,1.251519903
member 5,0.939184592,1.405076253,1.912995246,2.376471739,1.206724562
member 6,0.802084256,9.875175417,1.089420544,1.430538781,1.05981158
member 7,6.046075489,3.189804146,1.047306789,10.89677284,1.05981158
member 8,4.392810334,1.128764357,4.614494962,1.784678525,4.287214569
member 9,4.392810334,3.189804146,4.614494962,1.784678525,1.333751458
