ccp1,0,0,0,0,0.144631713
ccp2,0,0,0,0,0.353629159
member 0,0,0,0,0,0
member 1,0,0,0,0,1.046474909
member 10,0,0,0,0,2.347480106
member 11,0,0,0,0,4.950205445
member 12,0,0,0,0,1.161669764
member 13,0,0,0,0,1.266159903
member 14,0,0,0,0,7.408975202
member 15,0,0,0,0,2.87621975
member 16,0,0,0,0,2.13247785
member 17,0,0,0,0,2.608591784
member 18,0,0,0,0,2.605888241
member 19,0,0,0,0,2.436449503
member 2,0,0,0,0,1.140603474
member 20,0,0,0,0,2.405700518
member 3,0,0,0,0,6.674277744
member 4,0,0,0,0,4.459327387
member 5,0,0,0,0,6.674277744
member 6,0,0,0,0,1.393137707
member 7,0,0,0,0,2.347480106
member 8,0,0,0,0,1.393137707
member 9,0,0,0,0,2.167143631
