ccp1,0.810637643,0.427327046,0.637706756,0.00E+00,0.00E+00
ccp2,5.754771497,0.484227388,0.158495613,2.383355235,3.609020738
member 0,0,0,0,0,0
member 1,4.117025129,14.71423832,1.486673504,5.717057736,8.343894699
member 10,6.958061467,3.965435811,2.889691118,2.376557679,6.598073619
member 11,3.95058688,3.241384947,2.661823551,4.346073984,4.106308016
member 12,3.228048867,4.185787433,2.636743107,1.708224641,4.084533381
member 13,14.0589126,28.31688268,5.338610793,2.096591282,21.22004004
member 14,21.02139652,2.909040945,5.338610793,4.346073984,21.22004004
member 15,8.389607365,4.185787433,2.636743107,7.162117688,4.084533381
member 16,6.676769144,5.006388819,4.222542774,3.953812718,8.027082903
member 17,8.312973712,6.011039525,3.998160462,2.353459689,4.751474564
member 18,6.16079893,4.707213231,3.093628418,3.953812718,5.441315189
member 19,6.16079893,5.006388819,5.125115308,2.225802446,8.027082903
member 2,4.117025129,6.0491016,1.500814598,8.516925823,29.00852989
member 20,6.2227411,6.254701824,3.550807239,2.619198174,6.303347839
member 3,21.90702808,6.0491016,10.7338785,1.673573925,4.00617413
member 4,3.364046584,2.102613811,10.7338785,3.469191233,8.343894699
member 5,14.65121466,20.46704386,3.010066167,1.673573925,4.027531032
member 6,5.649928243,4.344694682,2.490332795,2.090737382,5.997237509
member 7,6.958061467,3.965435811,2.002049812,2.543739751,5.997237509
member 8,6.420353425,4.344694682,2.490332795,1.776714884,5.336926916
member 9,5.095756008,3.765355145,1.744278914,2.543739751,5.997237509
