"","r1","r2","r3","r_sp500_gen"
"r1",1,0.0515379592417174,0.0809341245788031,0.222672580056403
"r2",0.0515379592417174,1,0.0749456451384405,0.274134397696636
"r3",0.0809341245788031,0.0749456451384405,1,0.303092330048111
"r_sp500_gen",0.222672580056403,0.274134397696636,0.303092330048111,1
