"","r1","r2","r3","r_sp500_gen"
"r1",1,0.067725830861725,0.0875764271901499,0.293662406466123
"r2",0.067725830861725,1,0.0534926957962337,0.19047818568817
"r3",0.0875764271901499,0.0534926957962337,1,0.27783500395752
"r_sp500_gen",0.293662406466123,0.19047818568817,0.27783500395752,1
