"","r1","r2","r3","r_sp500_gen"
"r1",1,0.336549974782042,0.408422145334379,0.86916491834583
"r2",0.336549974782042,1,0.179027337190982,0.386913247088721
"r3",0.408422145334379,0.179027337190982,1,0.460652672489579
"r_sp500_gen",0.86916491834583,0.386913247088721,0.460652672489579,1
