"","r1","r2","r3","r_sp500_gen"
"r1",1,0.704541092099761,0.762996450846261,0.871706582626379
"r2",0.704541092099761,1,0.704960965760619,0.803652819169529
"r3",0.762996450846261,0.704960965760619,1,0.875998432414481
"r_sp500_gen",0.871706582626379,0.803652819169529,0.875998432414481,1
