"","r1","r2","r3","r_sp500_gen"
"r1",1,0.237463373493044,0.208100317252959,0.476212125308518
"r2",0.237463373493044,1,0.21375228808158,0.47115507128895
"r3",0.208100317252959,0.21375228808158,1,0.456760931382303
"r_sp500_gen",0.476212125308518,0.47115507128895,0.456760931382303,1
