ccp1,24.57580442,1.631921428
ccp2,0.009976364,35.28319921
member 1,0,0
member 10,69.44157651,56.02122183
member 11,0,0
member 12,0,0
member 13,34.53817117,64.04103691
member 14,37.40272829,34.86624187
member 15,163.9596603,111.8491616
member 16,0,0
member 17,0,0
member 18,46.58301214,36.24710595
member 19,34.31268951,61.57369812
member 2,0,0
member 20,55.92490034,36.24710595
member 3,42.88581725,47.66876154
member 4,42.88581725,87.55623644
member 5,134.0745536,87.55623644
member 6,0,0
member 7,0,0
member 8,54.73970147,49.55666448
member 9,54.73970147,63.45030551
